id,Date,Open,Close,High,Low,Shares_Traded,Turnover,created_at,created_by,updated_at,updated_by,status
1,2018-10-11,10930.9,11008.3,11035.65,10821.55,398987274,20391.72,2019-11-14,Me,2019-11-14,"",t
2,2018-10-11,10920.9,11308.3,11031.65,10821.55,398987274,20391.72,2019-11-14,"",2019-11-14,"",t
3,2018-10-12,13930.9,12308.3,11031.65,10811.55,398987274,20391.72,2019-11-14,"",2019-11-14,"",t
5,2018-10-01,10930.9,11035.65,10821.55,11008.3,398987274,20391.72,,Me,,,
6,2019-11-13,10930.9,11008.3,11035.65,10821.55,398987274,20391.72,,Me,,,
7,2019-11-13,10754.7,10599.25,10754.7,10547.25,438202008,23711.57,,Me,,,
8,2019-11-13,10441.7,10380.45,10441.9,10341.9,359340403,18111.88,,Me,,,
9,2019-11-13,11986.8,11075.9,11084.45,10945.75,624305151,18012.76,,Me,,,
10,2018-10-01,10930.9,11035.65,10821.55,11008.3,398987274,20391.72,,,,,
11,2018-10-03,10982.7,10989.05,10843.75,10858.25,398756507,21225.59,,,,,
12,2018-10-04,10754.7,10754.7,10547.25,10599.25,438202008,23711.57,,,,,
13,2018-10-05,10514.1,10540.65,10261.9,10316.45,625153832,25254.21,,,,,
14,2018-10-08,10310.15,10398.35,10198.4,10348.05,470279031,22130.94,,,,,
15,2018-10-09,10390.3,10397.6,10279.35,10301.05,443795275,18285.41,,,,,
16,2018-10-10,10331.85,10482.35,10318.25,10460.1,373844130,19592.59,,,,,
17,2018-10-11,10169.8,10335.95,10138.6,10234.65,498509417,21907.13,,,,,
18,2018-10-12,10331.55,10492.45,10322.15,10472.5,354056762,18606.04,,,,,
19,2018-10-15,10524.2,10526.3,10410.15,10512.5,267517728,14372.15,,,,,
20,2018-10-16,10550.15,10604.9,10525.3,10584.75,273444095,15453.03,,,,,
21,2018-10-17,10688.7,10710.15,10436.45,10453.05,293586908,17173.14,,,,,
22,2018-10-19,10339.7,10380.1,10249.6,10303.55,368552204,20505.66,,,,,
23,2018-10-22,10405.85,10408.55,10224,10245.25,306472776,17241.94,,,,,
24,2018-10-23,10152.6,10222.1,10102.35,10146.8,312042090,18114.71,,,,,
25,2018-10-24,10278.15,10290.65,10126.7,10224.75,362272428,19413.24,,,,,
26,2018-10-25,10135.05,10166.6,10079.3,10124.9,522421914,23503.76,,,,,
27,2018-10-26,10122.35,10128.85,10004.55,10030,375563273,16120.14,,,,,
28,2018-10-29,10078.1,10275.3,10020.35,10250.85,375749433,17514.85,,,,,
29,2018-10-30,10239.4,10285.1,10175.35,10198.4,298753965,14789.51,,,,,
30,2018-10-31,10209.55,10396,10105.1,10386.6,386618948,21513.85,,,,,
31,2018-11-01,10441.7,10441.9,10341.9,10380.45,359340403,18111.88,,,,,
32,2018-11-02,10462.3,10606.95,10457.7,10553,434175607,21758.8,,,,,
33,2018-11-05,10558.75,10558.8,10477,10524,311176379,14761.17,,,,,
34,2018-11-06,10552,10600.25,10491.45,10530,309878810,14006.19,,,,,
35,2018-11-07,10614.45,10616.45,10582.3,10598.4,32194181,1534.08,,,,,
36,2018-11-09,10614.7,10619.55,10544.85,10585.2,305817331,15294.83,,,,,
37,2018-11-12,10607.8,10645.5,10464.05,10482.2,267710127,13445.33,,,,,
38,2018-11-13,10451.9,10596.25,10440.55,10582.5,262541595,13078.98,,,,,
39,2018-11-14,10634.9,10651.6,10532.7,10576.3,396373781,19374.89,,,,,
40,2018-11-15,10580.6,10646.5,10557.5,10616.7,306011926,14937.67,,,,,
41,2018-11-16,10644,10695.15,10631.15,10682.2,353384918,16728.88,,,,,
42,2018-11-19,10731.25,10774.7,10688.8,10763.4,280522364,13540.9,,,,,
43,2018-11-20,10740.1,10740.85,10640.85,10656.2,304322623,13077.24,,,,,
44,2018-11-21,10670.95,10671.3,10562.35,10600.05,310191008,15382.32,,,,,
45,2018-11-22,10612.65,10646.25,10512,10526.75,246926671,12254.36,,,,,
46,2018-11-26,10568.3,10637.8,10489.75,10628.6,332863041,15927.25,,,,,
47,2018-11-27,10621.45,10695.15,10596.35,10685.6,382834178,17296.28,,,,,
48,2018-11-28,10708.75,10757.8,10699.85,10728.85,437627174,17737.28,,,,,
49,2018-11-29,10808.7,10883.05,10782.35,10858.7,712650890,26283.43,,,,,
50,2018-11-30,10892.1,10922.45,10835.1,10876.75,467857329,19964.33,,,,,
51,2018-12-03,10930.7,10941.2,10845.35,10883.75,422358631,18484.91,,,,,
52,2018-12-04,10877.1,10890.95,10833.35,10869.5,332137359,15857.16,,,,,
53,2018-12-05,10820.45,10821.05,10747.95,10782.9,322019985,15176.26,,,,,
54,2018-12-06,10718.15,10722.65,10588.25,10601.15,328275196,16488.87,,,,,
55,2018-12-07,10644.8,10704.55,10599.35,10693.7,335849636,18597.83,,,,,
56,2018-12-10,10508.7,10558.85,10474.95,10488.45,393097292,16524.36,,,,,
57,2018-12-11,10350.05,10567.15,10333.85,10549.15,438699334,20112.91,,,,,
58,2018-12-12,10591,10752.2,10560.8,10737.6,371697496,17447.45,,,,,
59,2018-12-13,10810.75,10838.6,10749.5,10791.55,387810061,17582.8,,,,,
60,2018-12-14,10784.5,10815.75,10752.1,10805.45,350579275,14486.1,,,,,
61,2018-12-17,10853.2,10900.35,10844.85,10888.35,306145514,12528.59,,,,,
62,2018-12-18,10850.9,10915.4,10819.1,10908.7,294942271,13556.45,,,,,
63,2018-12-19,10930.55,10985.15,10928,10967.3,321801803,17172.64,,,,,
64,2018-12-20,10885.2,10962.55,10880.05,10951.7,328802751,14945.94,,,,,
65,2018-12-21,10944.25,10963.65,10738.65,10754,389235107,18663.85,,,,,
